UsageType,EUC1-BoxUsage:m5.16xlarge($),EUC1-EBS:VolumeUsage.gp2($),EUC1-BoxUsage:p3.2xlarge($),EUC1-BoxUsage:m4.16xlarge($),EUC1-BoxUsage:p2.xlarge($),EUC1-TimedStorage-ByteHrs($),EUC1-BoxUsage:c5.4xlarge($),EUC1-BoxUsage:t2.xlarge($),EUC1-Requests-Tier2($),EUC1-BoxUsage:c5.2xlarge($),EUC1-DataTransfer-Out-Bytes($),EUC1-Requests-Tier1($),EUC1-BoxUsage:t3.xlarge($),EUC1-BoxUsage:t2.large($),EUC1-BoxUsage:c5.large($),EUC1-BoxUsage:r5.2xlarge($),EUC1-DataTransfer-Regional-Bytes($),EUC1-CPUCredits:t3($),Requests-Tier2($),EUC1-EBS:VolumeUsage($),EUC1-BoxUsage:t2.small($),Requests-Tier1($),EUC1-USE1-AWS-Out-Bytes($),USE2-EBS:VolumeUsage.gp2($),USE1-EUC1-AWS-Out-Bytes($),EUC1-BoxUsage:t2.nano($),EUC1-USE2-AWS-Out-Bytes($),EUC1-EU-AWS-Out-Bytes($),EUC1-APS3-AWS-Out-Bytes($),EUC1-USW2-AWS-Out-Bytes($),EUC1-EUW2-AWS-Out-Bytes($),EUC1-SAE1-AWS-Out-Bytes($),USE1-USE2-AWS-Out-Bytes($),DataTransfer-In-Bytes($),DataTransfer-Out-Bytes($),EUC1-APS3-AWS-In-Bytes($),EUC1-BoxUsage:t2.micro($),EUC1-CloudFront-In-Bytes($),EUC1-CloudFront-Out-Bytes($),EUC1-DataTransfer-In-Bytes($),EUC1-EBS:VolumeIOUsage($),EUC1-EBSOptimized:c5.4xlarge($),EUC1-EBSOptimized:p2.xlarge($),EUC1-EBSOptimized:r5.2xlarge($),EUC1-EU-AWS-In-Bytes($),EUC1-USE1-AWS-In-Bytes($),EUC1-USE2-AWS-In-Bytes($),EUC1-USW2-AWS-In-Bytes($),USE2-BoxUsage:t2.micro($),USE2-DataTransfer-In-Bytes($),USE2-DataTransfer-Out-Bytes($),eu-central-1-KMS-Requests($),EUC1-APN1-AWS-In-Bytes($),EUC1-APN1-AWS-Out-Bytes($),EUC1-APN2-AWS-In-Bytes($),EUC1-APN2-AWS-Out-Bytes($),EUC1-APS1-AWS-In-Bytes($),EUC1-APS1-AWS-Out-Bytes($),EUC1-CW:AlarmMonitorUsage($),EUC1-DeliveryAttempts-SMTP($),EUC1-SAE1-AWS-In-Bytes($),Total cost ($)
Usage Type Total,1506.1661,981.8483047,479.8307185,254.5109312,122.1076108,92.89867001,85.11617437,25.03565002,22.19547549,10.25656359,5.827381018,5.4054412,1.050559808,0.736594702,0.520295534,0.138898656,0.070903195,0.0614744,0.0392124,0.031243596,0.01680955,0.004525,0.002404336,0.002078087,0.00061459,0.000137725,6.73045E-05,2.6012E-06,1.1055E-06,2.63E-07,1.86E-07,5.42E-08,9.00E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3593.874844
1/04/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1/05/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1/06/19,,47.1342443,2.465127353,,88.47231221,7.708923606,19.11127282,16.98781261,13.15938804,10.25656359,4.924862806,3.6458526,,0.482963603,,0.138898656,0.046293476,,0.0056644,0.031243596,0.01680955,0.00156,5.999E-07,0.002078087,1.0635E-06,,2.93E-08,3.995E-07,3.98E-08,9.76E-08,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,214.5918735
1/07/19,,117.6024051,204.3849009,254.5109312,4.128303186,24.97814807,0.825213592,8.047837405,8.86338507,,0,0.9124176,,,,,0.016507706,,0.0040324,,,0.00039,0,,0,,0,0,,,,,,,0,,0,0,0,0,,,,,0,0,0,,,,,0,0,0,,,,,,,,624.2744722
1/08/19,,198.169039,143.4534272,,1.517896814,16.96044461,16.34718214,,0.11913994,,0.214506825,0.4932258,1.050559808,0.253631099,,,0.007523709,0.0614744,0.0293056,,,0.00108,0.002403498,,0.000611911,,6.72736E-05,0.00000022,,,,,,,,,,0,0,0,,,,,0,0,,,,,,0,,,,,,,,,,378.6815199
1/09/19,,408.9425646,25.24570309,,,12.78538829,,,0,,0,0,,,,,0,,0,,,0,0,,0,0.000137725,,0,0,,0,,,,0,0,0,0,0,0,,,,,0,0,,,,,,0,0,0,0,0,0,0,,,,446.9737937
1/10/19,104.5065806,35.7438297,,,,12.78538092,,,0,,0,0,,,,,0,,0,,,0,,,0,,0,0,,,,,0,,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,0,0,,153.0357913
1/11/19,673.2335963,39.58169432,,,,13.05685376,48.32557437,,0,,0.062420025,0.0208332,,,,,0,,0,,,0.00024,0.000000114,,3.591E-07,,8E-10,9.962E-07,1.0657E-06,,8.28E-08,,0.000000009,,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,0,0,,774.2812146
1/12/19,728.4259226,134.6745276,104.28156,,27.98909863,4.623530773,0.506931456,,0.05356244,,0.625591363,0.333112,,,0.520295534,,0.000578304,,0.00021,,,0.001255,1.242E-07,,1.2572E-06,,8E-10,9.855E-07,,1.652E-07,1.035E-07,5.42E-08,,,,,,0,0,0,,,,,0,,0,0,,,,0,,,,,,,0,0,0,1002.036178
